,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
10,0.122,0.002,0.017,0.012,0.231,0.293,0.151,0.0,0.001,0.018,1.0,0.063,0.078,0.257,0.024,0.007,0.001,0.01,0.256,0.052,0.065,0.09,0.007,0.01,0.054,0.005,0.0,0.031,0.06,0.359,0.096,0.028,0.445,0.001,0.047,0.005,0.474,0.042,0.016,0.165,0.093,0.0,0.108,0.002,0.228,0.065,0.024,0.062,0.063,0.253,0.1,0.056,0.015,0.014,0.04,0.0,0.013,0.048,0.001,0.066,0.012,0.038,0.462,0.363,0.004,0.022,0.189,0.032,0.02,0.095,0.007,0.025,0.098,0.007,0.057,0.027,0.053,0.074,0.158,0.035,0.441,0.028,0.061,0.327,0.001,0.013,0.017,0.222,0.001,0.007
11,0.374,0.022,0.239,0.293,0.213,0.231,0.098,0.17,0.448,0.0,0.063,1.0,0.065,0.477,0.071,0.086,0.0,0.042,0.224,0.065,0.073,0.384,0.322,0.003,1.0,0.006,0.37,0.092,0.532,0.231,0.032,0.092,0.167,0.007,0.004,0.036,0.147,0.005,0.287,0.461,0.321,0.458,0.056,0.03,0.166,0.429,0.002,0.076,0.076,0.156,0.148,0.224,0.013,0.381,0.009,0.295,0.0,0.544,0.2,0.029,0.007,0.013,0.168,0.207,0.023,0.017,0.477,0.184,0.373,0.122,0.133,0.087,0.176,0.01,0.42,0.38,1.0,0.526,0.436,0.032,0.105,0.307,0.247,0.086,0.004,0.365,0.023,0.256,0.062,0.0
12,0.065,0.255,0.023,0.003,0.243,0.312,0.371,0.023,0.055,0.417,0.078,0.065,1.0,0.167,0.005,0.0,0.074,0.52,0.303,0.386,1.0,0.053,0.022,0.007,0.068,0.168,0.007,0.425,0.108,0.098,0.393,0.413,0.331,0.139,0.422,0.523,0.33,0.445,0.019,0.101,0.222,0.049,0.222,0.196,0.312,0.14,0.407,0.041,0.004,0.165,0.375,0.086,0.566,0.026,0.417,0.018,0.419,0.075,0.028,0.476,0.451,0.51,0.326,0.116,0.386,0.694,0.126,0.004,0.053,0.392,0.0,0.003,0.155,0.205,0.136,0.064,0.073,0.09,0.116,0.52,0.225,0.018,0.086,0.468,0.188,0.047,0.0,0.248,0.0,0.008
13,0.424,0.015,0.368,0.253,0.527,0.65,0.484,0.25,0.167,0.025,0.257,0.477,0.167,1.0,0.044,0.074,0.011,0.048,0.657,0.073,0.159,0.447,0.321,0.005,0.477,0.013,0.11,0.104,0.31,0.549,0.114,0.103,0.476,0.004,0.052,0.05,0.505,0.033,0.314,0.323,0.382,0.189,0.082,0.005,0.39,0.509,0.025,0.213,0.081,0.65,0.292,0.124,0.022,0.374,0.049,0.283,0.039,0.67,0.188,0.071,0.029,0.043,0.524,0.559,0.013,0.061,0.628,0.353,0.494,0.267,0.149,0.042,0.4,0.013,0.535,0.487,0.481,0.616,0.659,0.073,0.356,0.347,0.387,0.297,0.001,0.414,0.008,0.508,0.125,0.004
14,0.067,0.0,0.023,0.041,0.126,0.011,0.025,0.003,0.052,0.0,0.024,0.071,0.005,0.044,1.0,0.0,0.0,0.005,0.01,0.009,0.007,0.046,0.035,0.001,0.078,0.0,0.0,0.0,0.126,0.016,0.004,0.0,0.033,0.0,0.003,0.005,0.036,0.001,0.027,0.07,0.013,0.048,0.035,0.0,0.029,0.107,0.0,0.01,0.014,0.015,0.035,0.185,0.001,0.031,0.002,0.022,0.0,0.173,0.095,0.005,0.001,0.007,0.033,0.008,0.0,0.004,0.024,0.152,0.036,0.036,0.0,1.0,0.009,0.0,0.091,0.046,0.08,0.21,0.025,0.006,0.027,0.073,0.115,0.03,0.002,0.033,0.016,0.11,0.0,0.002
15,0.003,0.0,0.462,0.278,0.004,0.003,0.0,0.504,0.169,0.01,0.007,0.086,0.0,0.074,0.0,1.0,0.0,0.0,0.001,0.0,0.0,0.0,0.386,0.001,0.086,0.002,0.149,0.0,0.083,0.052,0.005,0.0,0.001,0.001,0.009,0.0,0.001,0.007,0.367,0.011,0.003,0.158,0.0,0.0,0.0,0.209,0.005,0.015,0.51,0.003,0.0,0.019,0.001,0.227,0.012,0.35,0.006,0.17,0.324,0.004,0.001,0.0,0.0,0.043,0.004,0.002,0.003,0.011,0.259,0.0,0.449,0.0,0.002,0.007,0.215,0.248,0.073,0.097,0.008,0.0,0.001,0.49,0.019,0.005,0.0,0.446,0.0,0.0,0.714,0.007
16,0.006,0.009,0.0,0.0,0.045,0.062,0.24,0.001,0.0,0.0,0.001,0.0,0.074,0.011,0.0,0.0,1.0,0.0,0.061,0.001,0.079,0.004,0.0,0.0,0.0,0.039,0.0,0.002,0.0,0.0,0.017,0.002,0.002,0.047,0.018,0.017,0.001,0.003,0.0,0.001,0.023,0.001,0.001,0.005,0.028,0.001,0.002,0.012,0.0,0.047,0.059,0.001,0.005,0.0,0.023,0.0,0.0,0.0,0.0,0.002,0.0,0.003,0.003,0.0,0.001,0.005,0.019,0.002,0.0,0.057,0.0,0.0,0.036,0.047,0.0,0.0,0.0,0.0,0.022,0.0,0.042,0.001,0.0,0.014,0.001,0.002,0.0,0.046,0.0,0.0
17,0.014,0.352,0.022,0.001,0.084,0.072,0.079,0.038,0.049,0.54,0.01,0.042,0.52,0.048,0.005,0.0,0.0,1.0,0.069,0.453,0.486,0.011,0.019,0.023,0.041,0.349,0.005,0.286,0.114,0.049,0.283,0.297,0.078,0.252,0.345,0.56,0.069,0.345,0.013,0.087,0.129,0.058,0.105,0.382,0.052,0.102,0.542,0.017,0.0,0.022,0.296,0.084,0.664,0.016,0.361,0.014,0.579,0.027,0.065,0.41,0.725,0.467,0.068,0.063,0.535,0.631,0.04,0.001,0.018,0.288,0.001,0.002,0.045,0.363,0.106,0.023,0.033,0.027,0.034,0.641,0.017,0.004,0.02,0.173,0.195,0.067,0.0,0.067,0.002,0.026
18,0.353,0.016,0.082,0.024,0.666,1.0,0.777,0.052,0.047,0.085,0.256,0.224,0.303,0.657,0.01,0.001,0.061,0.069,1.0,0.063,0.294,0.366,0.06,0.0,0.224,0.024,0.035,0.148,0.18,0.342,0.334,0.143,0.561,0.006,0.112,0.092,0.582,0.103,0.055,0.242,0.586,0.047,0.163,0.013,0.581,0.194,0.098,0.265,0.001,0.636,0.523,0.086,0.083,0.101,0.122,0.042,0.097,0.23,0.023,0.108,0.082,0.073,0.56,0.358,0.047,0.178,0.601,0.085,0.131,0.456,0.011,0.019,0.451,0.017,0.183,0.123,0.232,0.286,0.622,0.123,0.444,0.043,0.166,0.648,0.011,0.114,0.011,0.642,0.034,0.002
19,0.019,0.479,0.039,0.006,0.102,0.074,0.095,0.02,0.077,0.319,0.052,0.065,0.386,0.073,0.009,0.0,0.001,0.453,0.063,1.0,0.37,0.017,0.05,0.181,0.06,0.41,0.007,0.342,0.137,0.127,0.286,0.349,0.162,0.202,0.507,0.392,0.179,0.388,0.049,0.04,0.033,0.077,0.137,0.252,0.049,0.158,0.321,0.022,0.002,0.029,0.13,0.088,0.312,0.022,0.469,0.032,0.319,0.059,0.12,0.528,0.37,0.709,0.153,0.129,0.326,0.321,0.025,0.004,0.038,0.13,0.001,0.014,0.072,0.389,0.157,0.026,0.071,0.036,0.019,0.351,0.129,0.026,0.055,0.231,0.141,0.099,0.001,0.096,0.001,0.181
20,0.061,0.219,0.03,0.002,0.23,0.306,0.376,0.019,0.051,0.419,0.065,0.073,1.0,0.159,0.007,0.0,0.079,0.486,0.294,0.37,1.0,0.057,0.016,0.007,0.074,0.193,0.003,0.409,0.125,0.114,0.389,0.4,0.359,0.121,0.42,0.501,0.322,0.447,0.022,0.091,0.219,0.047,0.219,0.223,0.335,0.148,0.421,0.04,0.003,0.158,0.413,0.082,0.544,0.028,0.421,0.019,0.379,0.065,0.034,0.462,0.439,0.479,0.349,0.102,0.368,0.699,0.12,0.004,0.051,0.377,0.0,0.002,0.155,0.184,0.11,0.054,0.065,0.104,0.125,0.551,0.24,0.02,0.08,0.438,0.202,0.054,0.0,0.237,0.002,0.004
21,1.0,0.003,0.087,0.077,0.382,0.384,0.159,0.008,0.067,0.007,0.09,0.384,0.053,0.447,0.046,0.0,0.004,0.011,0.366,0.017,0.057,1.0,0.149,0.0,0.391,0.005,0.063,0.066,0.335,0.286,0.045,0.072,0.275,0.003,0.013,0.04,0.3,0.001,0.155,0.397,0.419,0.064,0.157,0.013,0.543,0.203,0.01,0.114,0.009,0.224,0.217,0.165,0.006,0.243,0.017,0.1,0.012,0.285,0.05,0.019,0.011,0.002,0.273,0.28,0.003,0.018,0.515,0.414,0.128,0.22,0.07,0.064,0.567,0.002,0.188,0.124,0.398,0.296,0.491,0.043,0.324,0.07,0.121,0.127,0.0,0.079,0.128,0.371,0.005,0.0
22,0.155,0.015,0.773,0.53,0.052,0.068,0.02,0.418,0.414,0.001,0.007,0.322,0.022,0.321,0.035,0.386,0.0,0.019,0.06,0.05,0.016,0.149,1.0,0.02,0.319,0.003,0.196,0.014,0.43,0.343,0.001,0.032,0.095,0.0,0.0,0.02,0.084,0.006,1.0,0.115,0.042,0.42,0.02,0.003,0.069,0.696,0.006,0.047,0.505,0.082,0.022,0.185,0.003,0.5,0.003,0.561,0.002,0.592,0.667,0.002,0.01,0.002,0.104,0.369,0.0,0.006,0.064,0.208,0.419,0.018,0.644,0.031,0.068,0.005,0.724,0.435,0.311,0.413,0.081,0.032,0.057,0.594,0.203,0.006,0.002,0.653,0.012,0.065,0.274,0.019
23,0.0,0.084,0.018,0.002,0.002,0.002,0.0,0.048,0.0,0.065,0.01,0.003,0.007,0.005,0.001,0.001,0.0,0.023,0.0,0.181,0.007,0.0,0.02,1.0,0.002,0.227,0.003,0.008,0.016,0.039,0.042,0.007,0.008,0.026,0.09,0.001,0.008,0.034,0.016,0.001,0.002,0.001,0.007,0.018,0.003,0.013,0.063,0.0,0.007,0.002,0.0,0.0,0.0,0.03,0.084,0.032,0.055,0.022,0.053,0.062,0.024,0.093,0.013,0.023,0.007,0.006,0.0,0.006,0.023,0.0,0.015,0.004,0.019,0.24,0.015,0.016,0.002,0.007,0.0,0.013,0.005,0.015,0.007,0.007,0.003,0.082,0.0,0.004,0.033,1.0
24,0.401,0.029,0.256,0.283,0.226,0.236,0.119,0.15,0.45,0.004,0.054,1.0,0.068,0.477,0.078,0.086,0.0,0.041,0.224,0.06,0.074,0.391,0.319,0.002,1.0,0.008,0.402,0.103,0.48,0.206,0.024,0.095,0.169,0.01,0.005,0.059,0.153,0.002,0.319,0.439,0.299,0.453,0.057,0.027,0.199,0.435,0.0,0.079,0.099,0.17,0.122,0.229,0.014,0.372,0.007,0.296,0.001,0.548,0.201,0.02,0.015,0.019,0.165,0.224,0.015,0.022,0.436,0.191,0.377,0.119,0.136,0.079,0.168,0.007,0.401,0.383,1.0,0.525,0.436,0.039,0.099,0.32,0.232,0.093,0.003,0.347,0.026,0.24,0.096,0.003
25,0.0,0.477,0.007,0.0,0.015,0.022,0.008,0.008,0.004,0.552,0.005,0.006,0.168,0.013,0.0,0.002,0.039,0.349,0.024,0.41,0.193,0.005,0.003,0.227,0.008,1.0,0.001,0.183,0.033,0.052,0.202,0.186,0.044,0.513,0.384,0.232,0.041,0.378,0.004,0.009,0.005,0.007,0.041,0.339,0.01,0.02,0.576,0.003,0.001,0.004,0.03,0.013,0.206,0.01,0.356,0.001,0.558,0.006,0.004,0.482,0.372,0.472,0.035,0.038,0.306,0.246,0.0,0.0,0.001,0.029,0.0,0.0,0.026,1.0,0.019,0.004,0.008,0.005,0.0,0.217,0.015,0.002,0.014,0.088,0.071,0.018,0.0,0.014,0.001,0.212
26,0.064,0.002,0.167,0.329,0.048,0.019,0.018,0.273,0.489,0.0,0.0,0.37,0.007,0.11,0.0,0.149,0.0,0.005,0.035,0.007,0.003,0.063,0.196,0.003,0.402,0.001,1.0,0.014,0.257,0.063,0.0,0.011,0.007,0.0,0.0,0.005,0.009,0.001,0.183,0.109,0.034,0.453,0.0,0.003,0.013,0.187,0.0,0.022,0.174,0.027,0.017,0.035,0.0,0.378,0.0,0.433,0.0,0.25,0.157,0.0,0.001,0.0,0.008,0.053,0.0,0.0,0.111,0.056,0.249,0.017,0.221,0.0,0.05,0.0,0.162,0.262,0.389,0.18,0.105,0.004,0.0,0.22,0.077,0.003,0.014,0.309,0.001,0.044,0.164,0.002
27,0.076,0.678,0.031,0.006,0.072,0.15,0.124,0.005,0.049,0.164,0.031,0.092,0.425,0.104,0.0,0.0,0.002,0.286,0.148,0.342,0.409,0.066,0.014,0.008,0.103,0.183,0.014,1.0,0.074,0.085,0.064,1.0,0.135,0.336,0.179,0.512,0.132,0.298,0.019,0.019,0.164,0.058,0.036,0.528,0.079,0.078,0.179,0.054,0.0,0.05,0.248,0.032,0.15,0.015,0.195,0.011,0.187,0.032,0.014,0.619,0.21,0.384,0.105,0.083,0.368,0.2,0.092,0.016,0.015,0.242,0.0,0.002,0.064,0.187,0.073,0.018,0.089,0.039,0.089,0.204,0.12,0.006,0.033,0.13,0.195,0.032,0.0,0.074,0.0,0.005
28,0.337,0.036,0.265,0.225,0.359,0.161,0.076,0.22,0.448,0.03,0.06,0.532,0.108,0.31,0.126,0.083,0.0,0.114,0.18,0.137,0.125,0.335,0.43,0.016,0.48,0.033,0.257,0.074,1.0,0.447,0.096,0.074,0.245,0.022,0.045,0.093,0.228,0.021,0.489,0.507,0.143,0.407,0.183,0.041,0.288,0.599,0.026,0.107,0.114,0.103,0.175,0.674,0.088,0.525,0.05,0.377,0.045,0.534,0.459,0.047,0.101,0.052,0.213,0.427,0.042,0.105,0.233,0.163,0.301,0.178,0.253,0.123,0.293,0.034,0.589,0.285,0.514,0.47,0.205,0.161,0.188,0.241,0.325,0.151,0.031,0.487,0.103,0.319,0.123,0.022
29,0.297,0.033,0.292,0.087,0.371,0.383,0.24,0.118,0.083,0.082,0.359,0.231,0.098,0.549,0.016,0.052,0.0,0.049,0.342,0.127,0.114,0.286,0.343,0.039,0.206,0.052,0.063,0.085,0.447,1.0,0.161,0.093,0.518,0.006,0.137,0.058,0.489,0.052,0.366,0.245,0.188,0.078,0.106,0.003,0.31,0.43,0.096,0.276,0.025,0.261,0.186,0.223,0.037,0.344,0.119,0.195,0.083,0.347,0.172,0.096,0.048,0.093,0.478,1.0,0.015,0.041,0.281,0.213,0.199,0.157,0.16,0.021,0.328,0.057,0.467,0.194,0.234,0.291,0.289,0.077,0.565,0.208,0.259,0.308,0.004,0.346,0.042,0.385,0.123,0.027
30,0.042,0.058,0.003,0.001,0.273,0.308,0.285,0.002,0.007,0.474,0.096,0.032,0.393,0.114,0.004,0.005,0.017,0.283,0.334,0.286,0.389,0.045,0.001,0.042,0.024,0.202,0.0,0.064,0.096,0.161,1.0,0.057,0.328,0.045,0.541,0.256,0.317,0.387,0.006,0.096,0.195,0.009,0.367,0.014,0.222,0.066,0.469,0.061,0.016,0.073,0.259,0.09,0.395,0.017,0.508,0.0,0.499,0.035,0.001,0.184,0.372,0.345,0.318,0.179,0.197,0.43,0.076,0.002,0.001,0.257,0.001,0.011,0.2,0.186,0.06,0.001,0.02,0.034,0.063,0.314,0.215,0.003,0.048,0.661,0.041,0.021,0.012,0.277,0.0,0.044
31,0.067,0.679,0.035,0.004,0.064,0.148,0.131,0.008,0.04,0.175,0.028,0.092,0.413,0.103,0.0,0.0,0.002,0.297,0.143,0.349,0.4,0.072,0.032,0.007,0.095,0.186,0.011,1.0,0.074,0.093,0.057,1.0,0.12,0.319,0.186,0.461,0.107,0.283,0.022,0.028,0.148,0.043,0.042,0.529,0.075,0.075,0.18,0.065,0.0,0.057,0.253,0.029,0.152,0.013,0.178,0.006,0.163,0.039,0.028,0.595,0.201,0.328,0.122,0.094,0.385,0.221,0.107,0.015,0.021,0.246,0.001,0.003,0.056,0.192,0.07,0.021,0.091,0.042,0.107,0.181,0.126,0.016,0.021,0.125,0.181,0.04,0.0,0.084,0.0,0.005
32,0.284,0.024,0.086,0.019,0.51,0.571,0.436,0.035,0.045,0.113,0.445,0.167,0.331,0.476,0.033,0.001,0.002,0.078,0.561,0.162,0.359,0.275,0.095,0.008,0.169,0.044,0.007,0.135,0.245,0.518,0.328,0.12,1.0,0.003,0.217,0.082,1.0,0.176,0.081,0.219,0.255,0.03,0.368,0.0,0.634,0.287,0.107,0.066,0.001,0.39,0.257,0.177,0.085,0.071,0.19,0.046,0.111,0.217,0.043,0.183,0.087,0.126,1.0,0.496,0.025,0.164,0.344,0.106,0.112,0.256,0.01,0.032,0.358,0.041,0.26,0.113,0.154,0.254,0.292,0.164,0.777,0.069,0.309,0.623,0.006,0.105,0.011,0.501,0.009,0.011
33,0.004,0.442,0.004,0.0,0.007,0.008,0.003,0.0,0.006,0.32,0.001,0.007,0.139,0.004,0.0,0.001,0.047,0.252,0.006,0.202,0.121,0.003,0.0,0.026,0.01,0.513,0.0,0.336,0.022,0.006,0.045,0.319,0.003,1.0,0.089,0.369,0.006,0.2,0.004,0.009,0.025,0.004,0.023,0.698,0.005,0.006,0.321,0.0,0.0,0.001,0.072,0.015,0.195,0.002,0.088,0.0,0.343,0.002,0.002,0.4,0.366,0.208,0.004,0.005,0.487,0.234,0.006,0.0,0.0,0.074,0.0,0.0,0.009,0.523,0.01,0.0,0.006,0.0,0.001,0.271,0.002,0.0,0.0,0.015,0.133,0.006,0.0,0.007,0.0,0.033
34,0.017,0.227,0.002,0.001,0.092,0.12,0.142,0.004,0.002,0.704,0.047,0.004,0.422,0.052,0.003,0.009,0.018,0.345,0.112,0.507,0.42,0.013,0.0,0.09,0.005,0.384,0.0,0.179,0.045,0.137,0.541,0.186,0.217,0.089,1.0,0.403,0.189,0.575,0.001,0.017,0.056,0.003,0.13,0.024,0.103,0.033,0.762,0.031,0.006,0.016,0.158,0.024,0.293,0.011,1.0,0.006,0.719,0.018,0.008,0.368,0.383,0.543,0.211,0.129,0.195,0.399,0.03,0.0,0.003,0.156,0.005,0.001,0.106,0.344,0.043,0.0,0.009,0.01,0.024,0.295,0.19,0.001,0.051,0.337,0.025,0.025,0.0,0.111,0.0,0.067
35,0.037,0.38,0.018,0.001,0.093,0.101,0.123,0.021,0.039,0.47,0.005,0.036,0.523,0.05,0.005,0.0,0.017,0.56,0.092,0.392,0.501,0.04,0.02,0.001,0.059,0.232,0.005,0.512,0.093,0.058,0.256,0.461,0.082,0.369,0.403,1.0,0.08,0.272,0.015,0.043,0.166,0.036,0.103,0.421,0.065,0.082,0.475,0.039,0.0,0.018,0.286,0.058,0.407,0.016,0.398,0.008,0.433,0.02,0.047,0.398,0.437,0.397,0.079,0.061,0.574,0.461,0.042,0.002,0.018,0.3,0.0,0.004,0.08,0.246,0.079,0.021,0.047,0.022,0.05,0.432,0.066,0.008,0.016,0.172,0.293,0.049,0.0,0.089,0.0,0.001
36,0.282,0.034,0.087,0.023,0.511,0.59,0.436,0.023,0.038,0.106,0.474,0.147,0.33,0.505,0.036,0.001,0.001,0.069,0.582,0.179,0.322,0.3,0.084,0.008,0.153,0.041,0.009,0.132,0.228,0.489,0.317,0.107,1.0,0.006,0.189,0.08,1.0,0.157,0.088,0.219,0.278,0.035,0.352,0.0,0.619,0.265,0.118,0.062,0.002,0.405,0.265,0.195,0.096,0.077,0.223,0.045,0.123,0.218,0.027,0.17,0.089,0.136,1.0,0.478,0.026,0.156,0.319,0.119,0.097,0.265,0.01,0.038,0.366,0.057,0.244,0.123,0.155,0.294,0.317,0.184,0.733,0.074,0.296,0.653,0.003,0.084,0.018,0.52,0.011,0.009
